ISO,Position_of_Case_Affixes
rmw,0.0
dih,2.0
cbi,0.0
lbj,0.0
axb,1.0
spp,1.0
mjw,0.0
nio,0.0
huz,0.0
rut,0.0
snf,1.0
lww,1.0
yuc,0.0
hus,1.0
mnb,1.0
ssd,2.0
raw,1.0
tli,0.0
mqf,0.0
bdh,1.0
mkf,1.0
ain,1.0
nid,0.0
cle,1.0
mhu,2.0
bmi,1.0
urf,0.0
hla,1.0
shh,0.0
hix,1.0
shb,0.0
wnd,0.0
xsi,1.0
mzh,1.0
gvf,1.0
waq,0.0
tir,4.0
itl,0.0
chf,1.0
gnr,0.0
cro,1.0
lch,3.0
yaq,0.0
nyt,0.0
izz,1.0
shp,2.0
sag,1.0
teu,0.0
hup,0.0
wms,2.0
fla,3.0
plt,4.0
mar,0.0
dus,2.0
yia,0.0
tvo,1.0
alp,1.0
tar,0.0
mdd,1.0
mxx,1.0
gkn,1.0
ahk,1.0
mas,7.0
bot,1.0
psw,1.0
mez,0.0
aer,2.0
rgr,2.0
mfc,0.0
apq,0.0
kfz,1.0
csz,2.0
thd,6.0
ano,0.0
nav,1.0
pma,1.0
kgj,0.0
btx,1.0
snn,0.0
mky,1.0
twf,0.0
nbj,0.0
dau,1.0
lhm,0.0
ong,1.0
ywt,1.0
bsn,0.0
khk,0.0
kup,0.0
mni,2.0
kut,1.0
iba,1.0
mrt,1.0
aom,0.0
adj,1.0
ssn,0.0
cof,2.0
dif,0.0
lgu,1.0
dmk,0.0
yok,0.0
tya,2.0
nsm,2.0
glk,0.0
pnw,0.0
cav,2.0
acv,0.0
nig,0.0
kzw,1.0
sei,1.0
sbc,1.0
kal,0.0
kat,0.0
rab,0.0
lln,1.0
lkr,0.0
klj,0.0
plh,1.0
omb,1.0
mzm,1.0
huv,1.0
xav,1.0
peb,0.0
bae,0.0
hoa,1.0
arz,1.0
cnh,1.0
bsk,0.0
chq,1.0
nut,1.0
ktd,0.0
gmv,0.0
apb,1.0
wgy,0.0
kmo,2.0
nmf,0.0
khg,2.0
mpe,0.0
fub,4.0
mpb,0.0
inh,0.0
okv,1.0
min,1.0
jle,1.0
zne,0.0
iai,1.0
mcd,0.0
kto,1.0
lis,1.0
pom,0.0
tpy,0.0
kyq,0.0
nrz,0.0
tfr,1.0
ape,1.0
van,1.0
jbu,1.0
ijc,0.0
mjg,2.0
tri,1.0
noa,0.0
nab,1.0
ses,1.0
ynd,2.0
ung,2.0
zmr,1.0
xas,0.0
arw,1.0
nas,0.0
eng,1.0
mag,0.0
uwa,2.0
buh,1.0
cco,1.0
dud,1.0
mur,0.0
ewo,1.0
bdy,0.0
nez,0.0
khe,0.0
mam,1.0
apw,0.0
npa,2.0
imn,2.0
mbq,2.0
dru,1.0
sll,1.0
sip,2.0
som,1.0
gah,0.0
pwu,0.0
bco,2.0
tlc,1.0
vay,2.0
bom,1.0
mec,3.0
ogo,3.0
cao,1.0
qvh,2.0
kff,0.0
ram,1.0
mls,0.0
mil,1.0
kir,0.0
mev,1.0
bak,0.0
yap,1.0
nux,0.0
nll,0.0
cgg,1.0
xub,0.0
cku,2.0
fun,2.0
dta,0.0
tcb,1.0
kyh,2.0
nus,8.0
hke,3.0
ksw,1.0
kac,1.0
sui,0.0
mtg,1.0
niy,1.0
zmu,0.0
kpw,1.0
gym,0.0
zgb,1.0
lep,1.0
kxa,1.0
ykg,0.0
ach,1.0
blc,1.0
laj,1.0
faa,2.0
azb,0.0
clo,3.0
snc,2.0
tpj,0.0
mrc,2.0
kln,7.0
mqs,1.0
rwa,1.0
plu,1.0
lnj,0.0
kee,2.0
mbc,0.0
xaw,0.0
ori,0.0
heb,4.0
pjt,2.0
tay,1.0
kbd,0.0
djj,0.0
tbh,0.0
mkj,1.0
grt,2.0
cko,1.0
had,1.0
ksd,1.0
ure,0.0
udi,0.0
hna,1.0
tus,0.0
baa,1.0
tvu,1.0
wig,0.0
gyd,0.0
hoc,0.0
ood,1.0
brg,0.0
ace,1.0
zul,3.0
ogu,1.0
apu,2.0
wgu,2.0
srb,0.0
rif,3.0
agg,1.0
amc,1.0
mor,5.0
mfi,1.0
ikx,0.0
gug,1.0
arb,0.0
bfw,0.0
yag,0.0
hto,0.0
lif,0.0
amp,2.0
smr,1.0
brx,0.0
tex,0.0
kbl,0.0
oaa,0.0
csy,1.0
kmn,2.0
nzm,1.0
ulk,0.0
cam,1.0
amy,2.0
kue,1.0
mlv,3.0
ury,2.0
tqw,2.0
tca,0.0
lhu,1.0
mme,1.0
eno,3.0
wrz,2.0
sza,1.0
caq,1.0
cbr,0.0
nhg,1.0
bee,0.0
ncg,1.0
nam,2.0
ayc,2.0
gni,6.0
dbl,0.0
mos,0.0
bck,6.0
duj,0.0
rit,0.0
kfk,0.0
pes,1.0
tmd,1.0
pav,1.0
mlq,0.0
njo,2.0
nhu,3.0
gso,1.0
spl,0.0
sob,1.0
kah,1.0
scl,0.0
eve,0.0
zaw,3.0
was,0.0
bll,0.0
khq,1.0
cap,0.0
gww,2.0
guk,1.0
mnw,1.0
wmb,0.0
set,1.0
lae,0.0
cbc,0.0
mdj,1.0
anc,1.0
tac,0.0
los,1.0
kng,1.0
cyb,4.0
for,2.0
apt,1.0
zun,0.0
adt,0.0
luo,1.0
irn,1.0
kos,1.0
oss,0.0
ktg,0.0
bgr,1.0
tgc,1.0
sur,1.0
lef,1.0
kna,1.0
led,1.0
txu,0.0
tun,0.0
duc,2.0
sat,0.0
pib,0.0
nzk,1.0
ncz,2.0
tuv,5.0
prx,0.0
bio,0.0
kma,1.0
coe,0.0
zay,0.0
dsh,5.0
wbv,2.0
mhr,0.0
mvf,0.0
tbl,1.0
bbc,1.0
hmr,2.0
xal,0.0
kqz,0.0
brh,0.0
afb,1.0
ppo,2.0
log,1.0
tlb,0.0
woe,1.0
bjy,0.0
dyy,0.0
kgr,1.0
ndt,1.0
blb,1.0
liy,1.0
chx,2.0
tee,3.0
kyc,2.0
gvs,1.0
ary,1.0
mhj,0.0
skf,1.0
tkm,3.0
jeb,0.0
kld,0.0
mns,0.0
gge,3.0
snp,0.0
mug,1.0
ctm,0.0
szp,2.0
wra,1.0
tcg,1.0
dji,0.0
bcl,1.0
erk,3.0
zkk,1.0
mgl,1.0
mik,0.0
yuf,0.0
xwk,0.0
bim,1.0
yii,0.0
est,0.0
ajg,1.0
haw,1.0
djm,7.0
rap,1.0
eme,2.0
pan,0.0
dds,2.0
lec,0.0
knm,1.0
xmu,2.0
dim,2.0
squ,4.0
ard,0.0
pbb,2.0
bho,0.0
kpx,0.0
lun,3.0
srs,1.0
aun,0.0
wnw,0.0
nak,1.0
bdm,1.0
pid,0.0
tnl,1.0
lez,0.0
mmn,1.0
agd,0.0
ntj,0.0
tbg,0.0
wal,0.0
aiw,0.0
tta,1.0
dgz,0.0
tue,2.0
mym,0.0
slp,1.0
abt,2.0
kwi,2.0
wyb,0.0
bav,1.0
yue,1.0
naq,1.0
xcw,0.0
crw,1.0
osa,1.0
kgy,2.0
men,1.0
guc,0.0
zai,1.0
ank,1.0
tea,3.0
trp,0.0
bvr,3.0
eky,1.0
one,0.0
teo,3.0
mkz,1.0
kjg,1.0
mep,0.0
kaa,0.0
ket,0.0
swh,5.0
tsz,0.0
mpc,5.0
teq,0.0
jae,0.0
qui,0.0
opm,2.0
lbe,0.0
frs,1.0
qvi,0.0
lao,1.0
aoi,6.0
dar,0.0
shj,1.0
kjd,0.0
aoj,1.0
vam,1.0
amn,0.0
iqu,0.0
bex,1.0
bmu,0.0
shs,3.0
aka,1.0
wol,1.0
agt,1.0
usa,0.0
bhw,1.0
abz,1.0
kgs,0.0
sbf,0.0
chl,0.0
xho,3.0
aty,1.0
cmn,1.0
xmm,1.0
anu,1.0
yee,0.0
bzd,1.0
lkt,1.0
paw,0.0
eip,2.0
mej,1.0
bcq,2.0
svs,2.0
yrk,0.0
niu,1.0
kcr,1.0
shi,3.0
xac,0.0
kky,0.0
hae,0.0
jiv,0.0
xbi,0.0
sin,0.0
sad,2.0
lgg,1.0
tlj,3.0
rmb,0.0
urt,1.0
kle,0.0
tob,1.0
yuy,0.0
pia,0.0
wwr,6.0
hop,0.0
kxv,0.0
apn,1.0
njb,0.0
wao,0.0
otr,0.0
bcm,1.0
mhq,0.0
bmr,0.0
cup,0.0
mph,1.0
urk,1.0
wbl,0.0
dai,1.0
tro,0.0
bor,0.0
yor,1.0
aly,0.0
drl,0.0
tzj,1.0
lui,0.0
cir,1.0
dnj,1.0
are,0.0
xom,1.0
myv,0.0
alh,0.0
sce,0.0
pip,1.0
mrh,2.0
myh,1.0
adn,1.0
buo,0.0
dhv,1.0
ute,0.0
khm,1.0
gaj,0.0
gde,1.0
tel,0.0
pue,0.0
wrr,0.0
acm,4.0
ayz,3.0
pwg,3.0
sja,2.0
kun,2.0
tah,1.0
sdg,0.0
urd,1.0
com,0.0
