ISO,Order_of_Adverbial_Subordinator_and_Clause
yij,3.0
axb,0.0
aro,1.0
thd,0.0
csz,0.0
rmt,0.0
ndo,0.0
oss,2.0
viv,2.0
tzj,0.0
bsk,2.0
btx,0.0
eky,2.0
ssd,1.0
mbb,0.0
yue,2.0
