ISO,Coding_of_Nominal_Plurality
bcl,1.0
heb,0.0
tun,0.0
fut,1.0
bom,2.0
eno,2.0
abb,2.0
kmn,0.0
ung,6.0
klb,0.0
mkf,0.0
aly,3.0
mwe,2.0
kma,0.0
jle,2.0
gww,3.0
prx,0.0
emp,0.0
siz,5.0
gyd,3.0
gmv,0.0
tzj,1.0
kjj,0.0
par,0.0
zul,2.0
bkc,4.0
apu,0.0
hem,2.0
nal,1.0
hoa,1.0
loj,1.0
cam,1.0
kjd,0.0
skf,4.0
kgr,3.0
tiw,0.0
mpq,0.0
tzo,0.0
gqa,0.0
yul,4.0
tvl,1.0
pav,1.0
tsv,2.0
omb,1.0
osa,1.0
mxj,0.0
lml,1.0
sui,0.0
aqc,0.0
kfy,0.0
aun,0.0
mpe,0.0
kny,2.0
ynd,0.0
yok,0.0
lam,2.0
isl,0.0
kee,4.0
esu,0.0
hna,4.0
any,2.0
kyz,3.0
brh,0.0
hus,0.0
mrh,1.0
urb,0.0
sel,0.0
bfw,0.0
bud,5.0
sid,0.0
num,1.0
amh,0.0
gni,4.0
mbc,0.0
tbi,0.0
byr,4.0
tel,0.0
paw,0.0
okv,6.0
pes,0.0
mus,0.0
rap,1.0
khe,0.0
cop,3.0
jiv,0.0
ndt,5.0
trp,0.0
nxg,3.0
blb,1.0
kfk,0.0
apy,1.0
sku,2.0
chr,2.0
sba,0.0
pom,0.0
tbg,0.0
dds,4.0
sst,3.0
mym,0.0
sce,0.0
tsj,4.0
gil,5.0
set,3.0
aoi,2.0
cax,0.0
zmu,5.0
tca,0.0
sbe,0.0
tob,0.0
kac,1.0
mkj,4.0
niy,8.0
yuy,0.0
nyn,0.0
zun,0.0
nst,0.0
sur,1.0
zay,0.0
sis,0.0
jig,0.0
nup,4.0
cyb,4.0
ijc,0.0
dow,0.0
lun,2.0
gcd,0.0
mdd,1.0
udi,0.0
git,2.0
ghs,0.0
myh,4.0
plu,0.0
ncg,3.0
lrg,0.0
aiw,3.0
les,0.0
ygr,4.0
rmt,0.0
dji,0.0
xpe,0.0
ito,0.0
cro,0.0
wra,3.0
sbf,1.0
bdh,4.0
sat,0.0
tms,2.0
nbl,2.0
erg,1.0
bid,0.0
tac,7.0
alp,0.0
csz,5.0
buf,2.0
est,0.0
shh,0.0
sob,0.0
cbr,0.0
nak,1.0
mcs,0.0
thf,0.0
hop,0.0
bhg,5.0
tpj,0.0
sme,0.0
mch,0.0
mej,0.0
hoc,0.0
cap,0.0
brx,0.0
mjg,4.0
kah,4.0
chx,0.0
mva,3.0
cco,1.0
kmc,3.0
afb,5.0
buo,0.0
kbl,0.0
tcy,0.0
nia,2.0
pqa,0.0
lae,0.0
glk,0.0
tbh,0.0
noa,0.0
mnr,0.0
mco,1.0
apr,1.0
xac,0.0
tma,0.0
nga,5.0
rmw,0.0
djk,1.0
kbd,0.0
mqy,3.0
tqw,0.0
wal,0.0
lkt,1.0
ard,0.0
axb,0.0
vnm,1.0
mpm,1.0
ppo,0.0
gso,2.0
mdq,2.0
oon,0.0
arh,1.0
nam,5.0
njo,0.0
stp,2.0
mfi,0.0
ajg,4.0
did,0.0
mfc,0.0
zga,2.0
ttr,4.0
ese,1.0
bll,3.0
kza,0.0
sif,8.0
ikx,0.0
lez,0.0
tgo,5.0
mcn,0.0
uur,1.0
mhj,0.0
jar,2.0
hch,0.0
psw,1.0
kpx,0.0
dhv,1.0
bft,0.0
rou,0.0
cao,1.0
djm,5.0
kwi,0.0
vma,0.0
mnk,0.0
duj,1.0
fvr,5.0
gug,1.0
duo,1.0
pbb,0.0
cpa,3.0
bbo,4.0
aia,1.0
ksd,1.0
kdj,2.0
ane,1.0
des,0.0
zaw,2.0
hla,1.0
eky,3.0
sag,2.0
teq,5.0
csy,0.0
ibo,5.0
mge,0.0
naf,0.0
kio,0.0
kpj,0.0
swh,2.0
haw,1.0
myp,3.0
ign,0.0
bdm,0.0
cir,1.0
isi,2.0
mns,0.0
msj,0.0
qvi,0.0
sna,2.0
nym,2.0
bia,0.0
nso,2.0
pip,3.0
kqi,0.0
kwd,1.0
shj,0.0
bdr,1.0
mhq,0.0
bng,2.0
aom,3.0
tna,1.0
pon,3.0
mde,0.0
mlv,1.0
amn,3.0
zai,1.0
asa,2.0
krs,1.0
knm,1.0
bdu,2.0
chl,0.0
taq,5.0
bla,0.0
cmn,0.0
ngk,0.0
tdn,1.0
irk,0.0
tig,5.0
lvk,0.0
bni,2.0
aca,0.0
moh,2.0
urk,3.0
kld,0.0
yrk,0.0
kff,0.0
nsm,4.0
khr,4.0
rit,0.0
saj,3.0
hae,3.0
gde,0.0
brm,2.0
tuo,0.0
hup,3.0
dih,3.0
wed,2.0
ihp,5.0
klu,0.0
dis,0.0
eip,0.0
sbs,2.0
cof,4.0
are,0.0
lln,0.0
lgu,4.0
ndi,1.0
pko,5.0
kyq,4.0
pst,0.0
pid,0.0
ori,0.0
kqz,0.0
mio,3.0
kms,3.0
imn,3.0
lmn,0.0
qum,1.0
tjm,0.0
hmr,0.0
itl,0.0
cha,1.0
vai,1.0
kir,0.0
aer,3.0
guc,0.0
yap,1.0
yle,1.0
yaa,0.0
nmf,4.0
rif,5.0
cas,0.0
bri,2.0
gup,2.0
tri,0.0
aro,1.0
xwg,4.0
xav,3.0
kyh,0.0
bds,0.0
khm,1.0
wnd,2.0
huu,0.0
mzm,1.0
bwe,3.0
bgr,1.0
xed,0.0
ayz,3.0
mnx,0.0
ktz,4.0
kun,4.0
tkm,0.0
ths,0.0
gaj,0.0
nhg,0.0
