ISO,Lateral_Consonants
mpb,0.0
kbr,0.0
sue,1.0
ess,0.0
tml,1.0
irn,0.0
aer,0.0
bcs,1.0
faa,1.0
mhj,0.0
luo,0.0
sad,2.0
kun,0.0
sqt,0.0
eky,0.0
yrk,0.0
yuc,2.0
pbb,0.0
yva,1.0
nuy,0.0
mjg,0.0
haw,0.0
kas,0.0
duj,0.0
njo,0.0
huz,2.0
hnh,1.0
trg,0.0
ewo,0.0
grt,1.0
adz,1.0
nio,0.0
swi,0.0
amo,0.0
arl,1.0
rgr,1.0
bbl,2.0
eve,0.0
kek,0.0
cdo,0.0
pav,1.0
aka,1.0
yue,0.0
gqu,0.0
mwf,0.0
huu,1.0
ame,3.0
cku,2.0
cle,0.0
ses,0.0
ksw,0.0
spp,0.0
jru,3.0
apn,1.0
njz,0.0
dbl,0.0
zun,2.0
kln,0.0
apq,3.0
mrz,3.0
tbi,0.0
kan,0.0
ito,0.0
com,1.0
yee,0.0
mrc,0.0
pwa,3.0
tqw,0.0
sma,0.0
svs,0.0
ynn,0.0
wnw,2.0
xpe,0.0
pqm,0.0
mbl,1.0
lbj,0.0
prk,0.0
chp,2.0
skd,0.0
efi,1.0
arh,1.0
car,1.0
dta,0.0
see,1.0
crk,1.0
pay,0.0
ayc,0.0
tgc,4.0
ngi,2.0
shs,2.0
cbi,0.0
agm,3.0
tsg,0.0
yul,0.0
yua,0.0
shi,0.0
wrr,0.0
dnj,0.0
hop,1.0
pac,0.0
nab,3.0
zmr,0.0
etu,1.0
kff,0.0
daa,0.0
kbv,1.0
lbc,0.0
iwm,1.0
kpy,0.0
xtc,0.0
gaa,0.0
yur,2.0
mas,0.0
kru,0.0
kbh,0.0
teq,0.0
wnc,1.0
rut,0.0
dip,0.0
bcj,0.0
chv,0.0
aro,0.0
bzd,1.0
wiy,2.0
kbd,4.0
wnu,1.0
nez,2.0
tma,0.0
gvn,0.0
teh,2.0
dts,0.0
cyb,1.0
alh,0.0
byx,0.0
nav,2.0
bmr,1.0
fun,0.0
tun,0.0
nxq,0.0
mig,0.0
daj,0.0
xsu,1.0
kpm,0.0
djk,0.0
itl,2.0
qui,2.0
srb,0.0
lhu,0.0
plt,0.0
rap,1.0
ckt,4.0
lgg,3.0
tsi,2.0
tiy,0.0
uzn,0.0
nas,1.0
squ,2.0
mzh,0.0
alc,0.0
ycn,3.0
jao,0.0
hmt,1.0
ain,1.0
aal,0.0
slc,0.0
ttr,2.0
kac,0.0
tna,1.0
mto,1.0
lez,0.0
zne,3.0
lme,2.0
dhv,0.0
kna,2.0
aht,4.0
mzm,0.0
cic,2.0
mrt,2.0
kjq,1.0
chq,0.0
ygr,3.0
sag,0.0
kwi,2.0
wyb,0.0
chr,0.0
nyi,0.0
pon,0.0
oru,0.0
naq,1.0
top,2.0
bor,1.0
guc,3.0
anc,0.0
ood,3.0
mwp,0.0
dyo,0.0
one,0.0
myh,2.0
niy,0.0
tpm,0.0
pes,0.0
kwk,2.0
kss,0.0
ket,3.0
jeb,0.0
swh,0.0
mtg,0.0
mpc,0.0
ncb,0.0
mps,1.0
nir,1.0
sed,0.0
mnc,0.0
cbv,0.0
rro,1.0
mhz,1.0
bak,0.0
tel,0.0
nut,0.0
khr,0.0
iso,0.0
lui,0.0
guq,3.0
cbn,0.0
acv,0.0
gld,0.0
wrk,0.0
dow,0.0
tsz,0.0
mni,0.0
hus,0.0
oca,1.0
gbp,0.0
srq,1.0
xaw,0.0
nhg,1.0
rma,0.0
amf,0.0
cmn,0.0
wap,1.0
ald,0.0
niv,0.0
gwc,2.0
irk,2.0
ona,0.0
lkt,0.0
fia,0.0
khl,0.0
quh,0.0
klu,1.0
unr,0.0
ign,0.0
kpk,1.0
gni,0.0
coc,2.0
tcf,0.0
kwd,0.0
hae,0.0
xom,0.0
khm,3.0
pcc,0.0
blc,0.0
wol,0.0
kir,0.0
wuu,0.0
ibo,0.0
sin,0.0
cad,1.0
lef,0.0
bbc,0.0
lue,3.0
yss,0.0
kpw,0.0
shg,1.0
ekg,3.0
gmo,0.0
auc,1.0
snv,0.0
slz,0.0
ijc,0.0
mde,0.0
mph,0.0
apu,1.0
brb,0.0
cub,1.0
dag,0.0
yor,0.0
kmc,0.0
dry,0.0
pom,0.0
wti,0.0
jeh,0.0
pst,3.0
bbo,0.0
shb,1.0
kfe,0.0
maq,0.0
hup,2.0
ndv,0.0
lep,0.0
mur,0.0
som,0.0
bdl,0.0
dgz,1.0
tca,1.0
dni,0.0
tlo,1.0
amc,1.0
ikx,0.0
ogb,0.0
ung,0.0
cou,0.0
cha,0.0
wao,0.0
pwn,3.0
urb,1.0
ctp,0.0
spl,0.0
wrs,0.0
zoc,0.0
