ISO,SOVNeg_Order
tsj,10.0
bod,0.0
xac,1.0
lmn,2.0
ywt,0.0
mik,1.0
wed,0.0
mnr,0.0
kyz,5.0
ykg,0.0
ahk,0.0
wan,2.0
opt,0.0
can,0.0
mjg,0.0
irk,1.0
yaq,0.0
wme,0.0
snc,0.0
klu,0.0
zay,1.0
pbb,1.0
cbi,1.0
hid,1.0
dds,1.0
drd,0.0
mok,0.0
waq,0.0
djm,1.0
mus,1.0
shb,2.0
oss,0.0
urd,0.0
tma,1.0
mbq,4.0
gvn,0.0
njo,3.0
lis,0.0
kue,1.0
xcw,1.0
wsk,0.0
cui,3.0
ygr,0.0
ori,1.0
cho,1.0
ssn,3.0
yrk,0.0
bco,1.0
car,1.0
par,3.0
ahg,1.0
des,1.0
kay,5.0
bsk,0.0
sja,1.0
cku,1.0
svs,0.0
new,0.0
xnz,1.0
ras,0.0
zmc,0.0
pst,0.0
kun,1.0
naf,0.0
kqi,1.0
tdh,3.0
dnj,0.0
dni,2.0
tue,1.0
tac,0.0
apw,3.0
mym,1.0
dhi,0.0
spp,6.0
tir,3.0
ghs,5.0
bzd,0.0
eip,2.0
jei,0.0
mhq,3.0
vay,0.0
aqc,1.0
scl,0.0
klj,1.0
tun,1.0
com,0.0
xsu,2.0
iwm,2.0
ddo,2.0
mcd,1.0
rma,1.0
oon,2.0
tvu,0.0
mev,0.0
wra,0.0
kff,1.0
sce,0.0
kjd,3.0
tli,0.0
bbl,0.0
mwf,0.0
khk,1.0
bqp,2.0
sue,0.0
adn,6.0
knc,1.0
huu,1.0
yii,0.0
agb,0.0
nnk,2.0
klr,3.0
mhx,0.0
ulk,0.0
amn,3.0
kms,2.0
aph,1.0
sgw,0.0
klq,1.0
rao,1.0
ard,0.0
sbu,0.0
mdw,2.0
viv,0.0
xsr,0.0
klb,6.0
kvn,1.0
gym,0.0
unr,0.0
osa,2.0
led,2.0
bqc,6.0
nbc,0.0
ava,2.0
wnu,0.0
kat,0.0
woa,4.0
nav,0.0
mde,9.0
gaj,0.0
tml,2.0
trp,1.0
mnk,0.0
mrz,0.0
usa,0.0
bej,0.0
tbg,0.0
rou,5.0
cdm,1.0
naq,2.0
baw,0.0
tya,0.0
irn,1.0
kpy,3.0
cap,0.0
cdn,0.0
tkm,0.0
gah,1.0
mso,3.0
pwg,0.0
wal,1.0
grt,1.0
tbd,0.0
chl,0.0
ssd,2.0
bll,6.0
iii,0.0
ese,2.0
wms,1.0
bgr,2.0
urb,2.0
adi,1.0
meu,2.0
kxv,1.0
ain,0.0
njb,1.0
chp,2.0
ntj,1.0
jup,1.0
jaq,3.0
lae,0.0
snp,1.0
mrg,1.0
cbr,1.0
mnc,1.0
sad,1.0
sei,0.0
bfd,0.0
tnc,1.0
yuj,7.0
hmt,0.0
azb,1.0
oym,3.0
kbd,1.0
ywq,0.0
myp,1.0
mxx,4.0
yuc,0.0
mns,0.0
nbi,2.0
ktd,1.0
tig,0.0
