ISO,Glottalized_Consonants
kna,2.0
aht,1.0
mzm,2.0
cic,0.0
mrt,2.0
kjq,3.0
chq,5.0
ygr,2.0
sag,2.0
kwi,0.0
wyb,0.0
chr,0.0
nyi,0.0
pon,0.0
oru,0.0
naq,0.0
top,0.0
bor,0.0
guc,0.0
anc,2.0
ood,0.0
mwp,0.0
dyo,0.0
one,0.0
myh,1.0
niy,2.0
tpm,0.0
pes,0.0
kwk,3.0
kss,2.0
ket,0.0
jeb,3.0
swh,0.0
mtg,0.0
mpc,0.0
ncb,0.0
mps,0.0
nir,0.0
sed,6.0
mnc,0.0
cbv,0.0
rro,0.0
mhz,0.0
bak,0.0
tel,0.0
nut,2.0
khr,0.0
iso,0.0
lui,0.0
guq,0.0
cbn,0.0
acv,0.0
gld,0.0
wrk,0.0
dow,2.0
tsz,0.0
mni,0.0
hus,1.0
oca,0.0
gbp,2.0
srq,0.0
xaw,0.0
nhg,0.0
rma,0.0
amf,4.0
cmn,0.0
wap,2.0
ald,0.0
niv,0.0
gwc,0.0
irk,4.0
ona,1.0
lkt,1.0
fia,0.0
khl,0.0
quh,1.0
klu,0.0
unr,0.0
ign,0.0
kpk,0.0
gni,0.0
coc,0.0
tcf,0.0
kwd,0.0
hae,4.0
xom,4.0
khm,2.0
pcc,0.0
blc,1.0
wol,0.0
kir,0.0
wuu,0.0
ibo,0.0
sin,0.0
cad,1.0
lef,0.0
bbc,0.0
lue,0.0
yss,0.0
kpw,0.0
shg,4.0
ekg,0.0
gmo,4.0
auc,0.0
snv,0.0
slz,0.0
ijc,0.0
mde,0.0
mph,0.0
apu,0.0
brb,2.0
cub,0.0
dag,0.0
yor,0.0
kmc,0.0
dry,0.0
pom,1.0
wti,1.0
jeh,2.0
pst,0.0
bbo,0.0
shb,0.0
kfe,0.0
maq,0.0
hup,1.0
ndv,2.0
lep,0.0
mur,2.0
som,0.0
bdl,0.0
dgz,0.0
tca,0.0
dni,0.0
tlo,0.0
amc,0.0
ikx,4.0
ogb,2.0
ung,0.0
cou,2.0
cha,0.0
wao,3.0
pwn,0.0
urb,0.0
ctp,0.0
spl,0.0
wrs,0.0
zoc,0.0
