ISO,Minor_morphological_means_of_signaling_negation
bcm,0.0
klr,0.0
klu,0.0
agb,0.0
usa,0.0
amp,0.0
isl,0.0
lif,0.0
ssn,0.0
xav,0.0
oma,0.0
ank,0.0
skj,0.0
kvn,0.0
yuc,0.0
jbu,0.0
ngo,0.0
itl,0.0
yia,0.0
xmu,0.0
snn,0.0
azb,0.0
tsj,0.0
sbu,0.0
nxg,0.0
ane,0.0
heb,0.0
amh,0.0
kjd,0.0
nas,0.0
kza,0.0
tsv,0.0
tya,0.0
bej,0.0
sjg,0.0
amn,0.0
cdm,0.0
pan,0.0
lui,0.0
chf,0.0
roh,0.0
kgq,0.0
yae,0.0
mkz,0.0
mco,0.0
nyi,0.0
kpm,0.0
mig,0.0
mdd,0.0
gil,0.0
zrs,0.0
wol,0.0
zul,0.0
tac,0.0
kwi,0.0
dif,0.0
dga,0.0
bnc,0.0
bvx,0.0
hei,0.0
mnx,0.0
sbf,0.0
bfw,0.0
cax,0.0
tem,0.0
llp,0.0
kot,0.0
chb,0.0
dow,1.0
tiw,0.0
eve,0.0
sen,0.0
bdm,0.0
gbd,0.0
pao,0.0
ona,0.0
pav,0.0
tnm,3.0
scl,0.0
nih,0.0
gdq,0.0
yij,0.0
tbg,0.0
nna,0.0
bot,0.0
vma,0.0
ven,0.0
kcg,0.0
kca,0.0
mcp,0.0
waw,0.0
srb,0.0
cja,0.0
cla,0.0
mep,0.0
dau,0.0
njb,0.0
hla,0.0
dbl,0.0
xbi,0.0
bag,0.0
pom,0.0
abz,0.0
brm,0.0
hvn,0.0
mpq,0.0
ktd,0.0
wme,0.0
gey,0.0
zun,0.0
xam,0.0
nsz,0.0
iqu,0.0
kun,0.0
ngi,0.0
nbm,0.0
bdh,0.0
kyh,0.0
dnj,0.0
acv,0.0
sbc,0.0
pqa,0.0
dma,0.0
tgo,0.0
uig,0.0
csz,0.0
qvi,0.0
lep,0.0
cid,0.0
sbs,0.0
gbp,0.0
woa,0.0
lgu,0.0
tan,0.0
sah,0.0
pes,0.0
khq,0.0
rap,0.0
tee,0.0
mjw,0.0
mpb,0.0
dag,0.0
mdi,0.0
kbp,0.0
jya,0.0
tio,0.0
yuf,0.0
aom,0.0
lea,0.0
ssw,0.0
gvn,0.0
wal,0.0
teu,0.0
men,0.0
ker,0.0
pid,0.0
mhu,0.0
nzm,0.0
kwn,0.0
plg,0.0
kcu,0.0
mgf,0.0
krs,0.0
kab,0.0
rit,0.0
shy,0.0
ddo,0.0
aoj,0.0
lti,0.0
psa,0.0
eky,0.0
bam,0.0
gru,0.0
yuj,0.0
kpv,0.0
sua,0.0
bni,0.0
bug,0.0
cdn,0.0
dju,0.0
fun,0.0
byw,0.0
tbi,0.0
khl,0.0
bod,0.0
ung,0.0
lhm,0.0
brb,0.0
sue,0.0
dds,0.0
nnb,0.0
khg,0.0
kfy,0.0
mrz,0.0
ahg,0.0
xas,0.0
ndt,0.0
gbr,0.0
shs,0.0
aes,0.0
wms,0.0
nez,0.0
ppl,0.0
ijc,0.0
hnh,0.0
cme,0.0
crw,0.0
jei,0.0
bca,0.0
okv,0.0
fub,0.0
mym,0.0
cmn,0.0
cgg,0.0
ntj,0.0
gvo,0.0
nju,0.0
cab,0.0
kbk,0.0
adx,0.0
ntp,0.0
tma,0.0
gub,0.0
ulk,0.0
wbl,0.0
kcr,0.0
asu,0.0
tpj,0.0
bim,0.0
zro,0.0
mzp,0.0
klb,0.0
alp,0.0
sgw,0.0
mnw,0.0
byn,0.0
tlj,0.0
xal,0.0
inh,0.0
der,0.0
lis,0.0
mgl,0.0
hil,0.0
kzj,0.0
nxq,0.0
cir,0.0
cas,0.0
tta,0.0
oon,0.0
irh,0.0
adn,0.0
lnb,0.0
wed,0.0
bho,0.0
emi,0.0
slc,0.0
mec,0.0
baa,0.0
arh,0.0
mio,0.0
mil,0.0
ndo,0.0
wdj,0.0
bio,0.0
cui,0.0
xwg,0.0
kng,0.0
pjt,0.0
kle,0.0
myp,0.0
loy,0.0
ttr,0.0
huu,0.0
wsk,0.0
ann,0.0
shb,0.0
bkc,0.0
ywr,0.0
mlv,0.0
kxa,0.0
one,0.0
swh,0.0
nyo,0.0
anz,0.0
ctm,0.0
kln,0.0
bvz,0.0
bav,0.0
kma,0.0
div,0.0
snp,0.0
chr,0.0
mhj,0.0
mwf,0.0
are,0.0
xom,0.0
ajg,0.0
vam,0.0
dis,0.0
qui,0.0
lhu,0.0
mnr,0.0
svs,0.0
zag,0.0
eip,0.0
imi,0.0
ghs,0.0
old,0.0
mkj,0.0
lvk,0.0
opt,0.0
ctd,0.0
mgr,0.0
mky,0.0
tti,0.0
wim,0.0
mdj,0.0
ikx,0.0
hae,1.0
guc,0.0
bzr,0.0
gym,0.0
ood,0.0
muz,0.0
ayz,0.0
mrg,0.0
rug,0.0
szp,0.0
tbh,0.0
sid,0.0
kgy,0.0
mas,0.0
mxe,0.0
mbj,0.0
lkr,0.0
mek,0.0
nmf,0.0
nso,0.0
mpk,0.0
nab,0.0
cha,0.0
nup,0.0
ary,0.0
msj,0.0
mhi,0.0
baw,0.0
ctp,0.0
vnm,0.0
cyb,0.0
dim,0.0
mnz,0.0
yii,0.0
nhu,0.0
cao,0.0
grt,0.0
wan,0.0
clk,0.0
bip,0.0
bft,0.0
ons,0.0
