ISO,Order_of_Subject_and_Verb
hup,2.0
inh,0.0
khg,0.0
ulk,0.0
aqp,0.0
wal,0.0
set,0.0
mej,0.0
foi,0.0
nym,2.0
sps,0.0
kdj,1.0
tnm,0.0
tlf,0.0
tkl,1.0
ami,1.0
khd,0.0
tna,0.0
sua,0.0
mnx,0.0
peh,0.0
run,0.0
smq,0.0
amk,0.0
nsz,0.0
mrt,0.0
itl,0.0
bjy,0.0
tuk,0.0
tah,1.0
tbg,0.0
gde,1.0
wrk,2.0
bee,0.0
chb,0.0
yii,0.0
agg,0.0
yul,0.0
aph,0.0
laz,0.0
mnw,0.0
asm,0.0
loy,0.0
bbc,1.0
alc,0.0
nrz,0.0
mye,2.0
kaa,0.0
nrb,0.0
bfa,0.0
byw,0.0
erk,0.0
imn,0.0
ras,0.0
xsm,0.0
wim,0.0
kue,0.0
acn,0.0
zmu,0.0
jig,0.0
spu,0.0
alp,0.0
mhz,0.0
gge,0.0
mhs,0.0
mfi,0.0
tta,0.0
blb,2.0
mnr,0.0
ksd,2.0
mhu,0.0
sis,2.0
aom,0.0
yee,0.0
bgr,0.0
urt,0.0
byn,2.0
tzj,2.0
pqa,0.0
kky,0.0
adt,0.0
pko,1.0
agb,0.0
mgw,0.0
apc,2.0
wti,0.0
myh,1.0
ctm,0.0
pym,0.0
git,2.0
thp,1.0
dyo,0.0
tcg,0.0
ahg,0.0
yag,0.0
aro,0.0
hni,0.0
aun,0.0
duj,0.0
hur,1.0
lln,0.0
myb,0.0
srs,0.0
mil,1.0
khl,0.0
cup,0.0
nus,0.0
aie,0.0
baa,0.0
bpu,0.0
wrz,0.0
sin,0.0
mmn,1.0
njh,0.0
dua,0.0
amn,0.0
etr,0.0
arr,0.0
rif,0.0
sif,0.0
cof,0.0
lti,0.0
mva,0.0
nnk,0.0
gqu,0.0
rim,0.0
dis,0.0
ese,0.0
mrc,0.0
knc,0.0
ikx,1.0
mme,0.0
bvx,0.0
tun,0.0
mor,0.0
psa,0.0
njb,0.0
cdm,0.0
ndi,0.0
tpt,1.0
ggw,0.0
urk,0.0
kat,0.0
chl,0.0
pam,1.0
ney,0.0
nyj,0.0
lml,0.0
ahk,0.0
ncz,0.0
gdq,2.0
meu,0.0
tuo,0.0
kqz,2.0
xaw,2.0
raw,0.0
hnh,0.0
duu,0.0
bbl,0.0
lmc,2.0
ssw,2.0
evn,0.0
crk,2.0
dnj,0.0
mch,0.0
akc,0.0
mfr,0.0
hke,0.0
kld,0.0
nal,0.0
ign,1.0
naf,0.0
dba,0.0
sba,0.0
ngi,0.0
uig,0.0
rmb,0.0
ega,0.0
ayo,0.0
ket,0.0
thf,0.0
xsu,0.0
avt,0.0
yap,1.0
plt,1.0
mua,0.0
nge,0.0
dru,1.0
mzp,1.0
kle,0.0
nid,0.0
dai,0.0
lac,2.0
bvz,0.0
clk,0.0
ema,0.0
for,0.0
mau,2.0
mif,0.0
ths,0.0
waw,2.0
khw,0.0
fut,0.0
snn,0.0
mhy,0.0
xwg,0.0
kbd,0.0
szp,0.0
rtm,0.0
aey,0.0
spp,0.0
zne,0.0
auw,0.0
anq,0.0
aqc,0.0
oym,0.0
gug,0.0
lil,1.0
igb,0.0
mhq,0.0
dsh,0.0
rmt,1.0
tsg,1.0
nas,0.0
hix,1.0
sln,1.0
ram,0.0
com,0.0
pcc,0.0
rma,0.0
ard,0.0
mal,0.0
pma,0.0
udi,0.0
nju,0.0
ktz,0.0
css,2.0
mig,1.0
tbd,0.0
pue,2.0
kpz,1.0
irn,0.0
smr,1.0
sgw,0.0
jup,0.0
hch,0.0
yao,2.0
kgy,0.0
mph,0.0
mky,0.0
dga,0.0
had,0.0
cub,1.0
urf,0.0
lkr,0.0
nsm,0.0
eme,0.0
ace,2.0
nav,0.0
wam,2.0
ptp,0.0
wao,0.0
kpj,0.0
xer,0.0
shk,0.0
mdj,0.0
acm,0.0
woi,0.0
mcr,0.0
ekg,0.0
ibo,0.0
ryu,0.0
tzm,1.0
tmd,0.0
opm,0.0
amc,2.0
hla,0.0
mgd,0.0
esu,2.0
sed,0.0
cho,0.0
kwy,0.0
bfu,0.0
ogo,0.0
bsn,2.0
kyz,0.0
tpq,0.0
msj,0.0
nuk,1.0
ori,0.0
eko,0.0
nen,2.0
tvt,0.0
tfr,0.0
geb,0.0
sna,0.0
ava,0.0
kee,0.0
sce,0.0
kos,0.0
kza,0.0
bas,0.0
afb,0.0
tro,0.0
hmr,0.0
ape,0.0
yrk,0.0
lgu,1.0
wyb,0.0
wme,0.0
kmc,2.0
cab,1.0
kfy,0.0
jet,0.0
snp,0.0
kfz,0.0
pad,1.0
nzk,0.0
irk,0.0
des,0.0
gvf,0.0
adi,0.0
aij,0.0
ceb,1.0
szg,0.0
svs,0.0
pbr,0.0
siw,0.0
opt,0.0
kyh,0.0
hoa,1.0
tma,0.0
mec,2.0
wic,2.0
bak,0.0
ane,0.0
nut,0.0
wnw,2.0
tsi,1.0
mxk,0.0
kac,0.0
wnu,0.0
mla,0.0
kgr,0.0
tms,0.0
arz,0.0
yle,0.0
miq,0.0
gaa,0.0
gym,0.0
mpk,0.0
sst,0.0
tcy,0.0
mxx,0.0
wrb,0.0
sue,0.0
pit,2.0
kwa,0.0
sot,0.0
lgg,0.0
avi,0.0
kzj,1.0
bqp,0.0
brm,2.0
trr,1.0
abk,0.0
bck,0.0
nam,0.0
roh,0.0
yrb,0.0
tcf,1.0
gvo,0.0
lub,0.0
poi,2.0
tvl,1.0
gnr,0.0
kmo,0.0
uur,0.0
sro,0.0
kbv,0.0
cod,0.0
gso,0.0
bdg,0.0
tll,0.0
bsc,0.0
aia,0.0
mug,0.0
nsn,0.0
dow,0.0
abz,0.0
tig,0.0
wwa,0.0
pau,0.0
ewe,0.0
eky,0.0
muz,0.0
dju,0.0
frs,0.0
mwe,0.0
gub,1.0
mur,1.0
bni,0.0
udm,0.0
kpx,0.0
bcq,0.0
jaq,0.0
chf,1.0
dje,0.0
sll,0.0
bca,0.0
eng,0.0
iba,0.0
chc,0.0
uby,0.0
mek,0.0
mxu,0.0
rit,2.0
zga,0.0
hay,0.0
wol,0.0
sat,0.0
ayc,0.0
ess,0.0
teo,1.0
mbb,1.0
khm,0.0
kui,0.0
pan,0.0
bqc,0.0
jeb,2.0
hus,1.0
tml,0.0
niy,0.0
apy,2.0
tlj,0.0
gae,0.0
mqf,0.0
huc,0.0
kzw,1.0
tpj,0.0
sme,0.0
xsi,0.0
wax,0.0
qvh,0.0
ann,0.0
mbc,2.0
naq,0.0
ctd,0.0
huv,1.0
kry,0.0
kbp,0.0
chv,0.0
bia,0.0
plg,1.0
tqw,0.0
iqu,0.0
tnd,0.0
kbx,0.0
kup,0.0
pwn,1.0
rwo,0.0
njz,0.0
sht,2.0
bim,0.0
tnl,0.0
sku,0.0
luo,0.0
lhu,0.0
zmr,0.0
guw,0.0
mdm,0.0
rao,0.0
axb,0.0
mpc,0.0
nbi,0.0
nhg,2.0
amp,0.0
abt,0.0
zmt,0.0
kkl,0.0
hem,0.0
mdd,0.0
ncg,1.0
kgo,1.0
tmu,0.0
ajg,0.0
tcb,0.0
wwr,2.0
pao,0.0
mlq,0.0
wya,1.0
mls,0.0
mhx,0.0
too,0.0
suk,0.0
slp,0.0
mqs,0.0
xsr,0.0
sah,0.0
ykg,0.0
cas,0.0
aar,0.0
isl,0.0
yaq,0.0
can,0.0
tdh,0.0
snk,0.0
zik,0.0
mpe,1.0
cku,0.0
saj,0.0
xam,0.0
gta,1.0
dip,0.0
dmk,0.0
fla,1.0
twf,0.0
rkb,0.0
rap,1.0
mhj,0.0
mxe,0.0
mev,0.0
hei,1.0
old,0.0
klj,0.0
asu,1.0
yok,2.0
xed,1.0
tya,0.0
snc,0.0
shb,0.0
trp,0.0
mkz,0.0
bdw,0.0
nyn,0.0
nio,0.0
adz,0.0
brx,0.0
sja,0.0
sui,0.0
lea,0.0
anz,0.0
sov,0.0
ale,0.0
adj,0.0
cle,1.0
men,0.0
nbl,0.0
moc,1.0
jbt,0.0
dni,0.0
rab,0.0
ppo,0.0
rng,0.0
prx,0.0
van,0.0
duo,1.0
kyc,0.0
kcg,0.0
khk,0.0
gvs,0.0
pwu,0.0
myv,0.0
ain,0.0
ilb,0.0
ood,1.0
ssd,0.0
eip,0.0
bcm,0.0
rgr,0.0
yuj,0.0
cbi,0.0
xbi,0.0
bdr,2.0
bkk,0.0
ddj,0.0
kig,0.0
tan,0.0
kqi,0.0
rnp,0.0
mtg,0.0
der,0.0
ude,0.0
apq,0.0
pip,0.0
kmj,0.0
kal,0.0
lun,0.0
was,0.0
lae,0.0
maq,1.0
xmu,0.0
mnk,0.0
jya,0.0
bzd,0.0
nmu,0.0
tgo,0.0
arh,0.0
aoj,0.0
kkk,1.0
lww,0.0
fuu,0.0
yor,0.0
los,0.0
trv,1.0
xra,0.0
nfl,0.0
bzr,0.0
zgb,0.0
gdo,0.0
tea,0.0
dhi,0.0
bav,0.0
xas,0.0
ijc,0.0
kvg,0.0
heh,0.0
unr,0.0
nzm,0.0
grj,0.0
god,0.0
dta,0.0
sid,0.0
nuy,2.0
nak,0.0
zro,0.0
zun,0.0
kij,1.0
bwu,0.0
ian,0.0
tbc,0.0
tsj,0.0
ktg,0.0
apt,0.0
kln,1.0
njo,0.0
tvk,0.0
bft,0.0
tuv,1.0
bfw,0.0
mge,0.0
hia,1.0
sza,2.0
cko,0.0
kkh,0.0
ank,0.0
nxg,0.0
gaj,0.0
agt,1.0
mhk,0.0
nau,2.0
stp,1.0
sdg,0.0
skd,0.0
viv,0.0
pss,0.0
bej,0.0
cao,2.0
apw,0.0
aes,1.0
nse,0.0
yad,1.0
bkc,0.0
xtc,0.0
ycn,0.0
csz,1.0
mfc,0.0
bli,0.0
taq,1.0
zoc,1.0
sbc,0.0
lao,0.0
cnh,0.0
tir,0.0
wsa,0.0
aoi,1.0
baw,0.0
azb,0.0
gyd,0.0
blc,1.0
mxp,2.0
okv,0.0
gmm,0.0
kca,0.0
dgz,0.0
lez,0.0
brb,0.0
pia,0.0
mzh,0.0
gvn,0.0
mra,0.0
cdn,0.0
trc,1.0
ady,0.0
mrh,0.0
hid,0.0
woa,0.0
klb,0.0
ewo,0.0
aly,0.0
gru,0.0
wiy,0.0
pqm,2.0
dgl,0.0
mso,0.0
lis,0.0
bot,0.0
qum,1.0
niv,0.0
agh,0.0
nxn,0.0
tus,2.0
gah,0.0
buf,0.0
see,2.0
mxj,0.0
yue,0.0
tbi,0.0
ifm,0.0
mym,0.0
nia,1.0
cja,0.0
oss,0.0
laj,0.0
rmw,2.0
lkt,0.0
num,1.0
ssn,0.0
skv,0.0
vay,0.0
lbu,0.0
kgs,2.0
mgl,0.0
mam,1.0
npa,0.0
sel,0.0
som,0.0
cui,0.0
pib,0.0
ong,0.0
chh,1.0
cam,1.0
awi,0.0
heb,0.0
amh,0.0
ktd,0.0
oaa,0.0
mag,0.0
mas,1.0
sbf,0.0
tmq,0.0
kwo,0.0
dih,0.0
lui,0.0
ddo,0.0
avu,0.0
lic,0.0
yon,0.0
kwk,2.0
yij,0.0
wmb,2.0
zul,0.0
tob,2.0
mrg,0.0
mgu,0.0
csw,2.0
waq,0.0
bid,0.0
ixl,1.0
tem,0.0
tlb,0.0
pon,0.0
tiw,0.0
puw,0.0
pej,0.0
ona,1.0
pav,1.0
duc,0.0
rwa,0.0
pwa,0.0
cro,0.0
ral,0.0
iwm,0.0
trw,0.0
anu,2.0
myu,0.0
swv,0.0
sbu,0.0
gdm,0.0
khq,0.0
bdu,0.0
mio,1.0
les,0.0
dar,0.0
guh,0.0
lep,0.0
wos,0.0
suq,0.0
dau,0.0
dhv,2.0
tvu,0.0
bag,0.0
qvi,0.0
ker,0.0
wms,0.0
cir,2.0
kqq,0.0
pes,0.0
yaa,0.0
mcd,0.0
ljp,0.0
nab,0.0
oon,0.0
xav,0.0
nso,0.0
lbf,0.0
emi,0.0
kpv,0.0
ywr,1.0
hop,0.0
lbj,0.0
plh,0.0
hak,0.0
ihp,0.0
crd,1.0
ncj,0.0
mdi,0.0
lef,0.0
ngk,0.0
car,0.0
hto,0.0
bri,0.0
ury,0.0
mlv,0.0
bll,0.0
par,0.0
nnm,0.0
fvr,0.0
wra,0.0
cla,0.0
tgc,0.0
shj,0.0
gbr,0.0
shs,1.0
mnz,0.0
irh,0.0
nez,2.0
qui,1.0
pwg,0.0
lif,0.0
mvn,0.0
txx,1.0
dhr,2.0
kay,0.0
cme,0.0
sur,0.0
apn,0.0
cmn,0.0
kun,0.0
ncl,1.0
cjm,0.0
ura,1.0
coo,1.0
kgg,0.0
bdm,0.0
lnb,0.0
mjw,0.0
nmm,0.0
ntp,1.0
ach,0.0
mbj,0.0
ige,0.0
mpt,0.0
diq,0.0
sub,0.0
byr,0.0
kwn,0.0
xho,0.0
wib,0.0
teq,0.0
nko,0.0
tbl,1.0
coe,1.0
mcf,0.0
bnc,2.0
djd,2.0
wnd,0.0
mbp,0.0
eno,0.0
xns,0.0
kto,1.0
btx,2.0
buh,0.0
bvr,0.0
ocu,0.0
nlg,1.0
usa,0.0
djr,2.0
mkj,2.0
chq,1.0
tri,1.0
var,2.0
khr,0.0
plu,0.0
sld,0.0
kao,0.0
ifb,1.0
emp,0.0
shy,2.0
nmn,0.0
pag,1.0
squ,1.0
cbr,0.0
cid,0.0
moh,2.0
mpm,1.0
kgq,0.0
tti,0.0
csy,0.0
mkf,2.0
pjt,0.0
lnj,0.0
myp,0.0
otr,0.0
ttr,0.0
tbo,0.0
wsk,0.0
jae,0.0
krc,0.0
kbh,0.0
tik,0.0
lch,0.0
udl,0.0
ibd,0.0
tac,0.0
one,1.0
swh,0.0
lol,0.0
imi,0.0
xal,0.0
shi,2.0
bod,0.0
kfq,0.0
nob,0.0
mna,0.0
kbc,0.0
wlo,1.0
chr,2.0
agq,0.0
mwf,0.0
oma,0.0
bla,2.0
kot,0.0
sun,0.0
nbm,0.0
kng,0.0
dbl,0.0
zay,0.0
sbe,0.0
bdl,2.0
zrs,0.0
uwa,0.0
mgp,0.0
msu,0.0
bio,0.0
auc,0.0
lvk,0.0
klq,0.0
bex,0.0
bvb,0.0
ses,0.0
ncb,1.0
cak,1.0
klu,0.0
mns,0.0
hae,0.0
guc,1.0
aca,0.0
mhi,0.0
tsz,0.0
bci,0.0
ayz,0.0
kxv,0.0
xmm,0.0
zpq,1.0
fqs,0.0
krs,0.0
owi,0.0
djj,0.0
bfd,0.0
hmt,0.0
mik,0.0
log,0.0
ndo,0.0
lag,0.0
mez,2.0
deg,0.0
tar,0.0
kla,2.0
cha,1.0
tee,1.0
kre,1.0
ary,1.0
tap,0.0
poy,0.0
chp,0.0
sip,0.0
ctp,1.0
dds,0.0
cyb,1.0
bdh,0.0
kmh,0.0
djk,0.0
nhu,0.0
koy,0.0
nup,0.0
grt,0.0
llp,0.0
mdw,0.0
wdj,0.0
nuf,0.0
bud,0.0
nyh,2.0
